,YEAR,MONTH,OP_UNIQUE_CARRIER,DEP_TIME,DEP_DELAY
87,2014,8,DL,1532.0,-5.0
113,2014,8,DL,1626.0,6.0
132,2014,8,DL,1631.0,83.0
224,2014,8,DL,1905.0,5.0
231,2014,8,DL,826.0,-4.0
266,2014,8,DL,755.0,-5.0
377,2014,8,DL,859.0,-1.0
403,2014,8,DL,1634.0,-1.0
428,2014,8,DL,2208.0,60.0
497,2014,8,DL,809.0,0.0
529,2014,8,DL,1833.0,1.0
558,2014,8,DL,812.0,2.0
652,2014,8,DL,835.0,0.0
742,2014,8,DL,1452.0,-3.0
757,2014,8,DL,707.0,7.0
760,2014,8,DL,2101.0,46.0
767,2014,8,DL,2026.0,-3.0
768,2014,8,DL,2011.0,81.0
769,2014,8,DL,1910.0,8.0
772,2014,8,DL,2235.0,40.0
774,2014,8,DL,811.0,-4.0
775,2014,8,DL,1555.0,-3.0
777,2014,8,DL,1914.0,154.0
781,2014,8,DL,2009.0,32.0
782,2014,8,DL,1830.0,0.0
783,2014,8,DL,1735.0,15.0
784,2014,8,DL,1700.0,18.0
2534,2014,8,DL,1850.0,-2.0
2537,2014,8,DL,1635.0,6.0
2538,2014,8,DL,1815.0,0.0
2540,2014,8,DL,1800.0,5.0
2541,2014,8,DL,1320.0,21.0
2542,2014,8,DL,619.0,-6.0
2543,2014,8,DL,924.0,-6.0
2544,2014,8,DL,1205.0,5.0
2545,2014,8,DL,718.0,18.0
2546,2014,8,DL,757.0,-3.0
2547,2014,8,DL,2152.0,52.0
2548,2014,8,DL,2355.0,-4.0
2549,2014,8,DL,1555.0,-5.0
2550,2014,8,DL,658.0,-2.0
2551,2014,8,DL,1258.0,-2.0
2552,2014,8,DL,1430.0,0.0
2553,2014,8,DL,1528.0,-4.0
2554,2014,8,DL,1140.0,-5.0
2555,2014,8,DL,2054.0,99.0
2556,2014,8,DL,1215.0,54.0
2557,2014,8,DL,1749.0,-6.0
2558,2014,8,DL,654.0,-6.0
2559,2014,8,DL,1129.0,-3.0
2560,2014,8,DL,2004.0,79.0
2561,2014,8,DL,1902.0,32.0
2563,2014,8,DL,937.0,-3.0
2564,2014,8,DL,1520.0,5.0
2565,2014,8,DL,2110.0,39.0
2566,2014,8,DL,826.0,-4.0
2567,2014,8,DL,1109.0,24.0
2568,2014,8,DL,857.0,-3.0
2569,2014,8,DL,717.0,-3.0
2570,2014,8,DL,825.0,-5.0
2571,2014,8,DL,1855.0,180.0
2574,2014,8,DL,851.0,-9.0
2575,2014,8,DL,806.0,-9.0
2577,2014,8,DL,1641.0,-4.0
2579,2014,8,DL,837.0,2.0
2580,2014,8,DL,1257.0,12.0
2581,2014,8,DL,2105.0,66.0
2583,2014,8,DL,808.0,-7.0
2584,2014,8,DL,1123.0,-7.0
2585,2014,8,DL,1308.0,-5.0
3012,2014,8,DL,1907.0,15.0
3015,2014,8,DL,1643.0,14.0
3016,2014,8,DL,1834.0,19.0
3018,2014,8,DL,1753.0,-2.0
3019,2014,8,DL,1305.0,6.0
3020,2014,8,DL,621.0,-4.0
3021,2014,8,DL,927.0,-3.0
3022,2014,8,DL,1159.0,-1.0
3023,2014,8,DL,656.0,-4.0
3024,2014,8,DL,757.0,-3.0
3025,2014,8,DL,2146.0,46.0
3026,2014,8,DL,44.0,45.0
3027,2014,8,DL,1611.0,46.0
3028,2014,8,DL,702.0,2.0
3029,2014,8,DL,1255.0,-5.0
3030,2014,8,DL,1509.0,39.0
3031,2014,8,DL,1138.0,-7.0
3032,2014,8,DL,1914.0,-1.0
3033,2014,8,DL,1120.0,-1.0
3034,2014,8,DL,1752.0,-3.0
3035,2014,8,DL,654.0,-6.0
3036,2014,8,DL,1134.0,2.0
3037,2014,8,DL,1851.0,6.0
3038,2014,8,DL,1852.0,22.0
3040,2014,8,DL,941.0,1.0
3041,2014,8,DL,1514.0,-1.0
3042,2014,8,DL,2046.0,31.0
3043,2014,8,DL,825.0,-5.0
3044,2014,8,DL,1041.0,-4.0
3045,2014,8,DL,921.0,21.0
3046,2014,8,DL,722.0,2.0
3047,2014,8,DL,856.0,26.0
3048,2014,8,DL,1552.0,-3.0
3051,2014,8,DL,857.0,-3.0
3052,2014,8,DL,903.0,48.0
3054,2014,8,DL,1644.0,-1.0
3056,2014,8,DL,834.0,-1.0
3057,2014,8,DL,1246.0,1.0
3058,2014,8,DL,1959.0,0.0
3060,2014,8,DL,808.0,-7.0
3061,2014,8,DL,1137.0,7.0
3062,2014,8,DL,1308.0,-5.0
4207,2014,8,DL,1553.0,16.0
4233,2014,8,DL,1624.0,4.0
4252,2014,8,DL,1529.0,21.0
4344,2014,8,DL,1859.0,-1.0
4351,2014,8,DL,826.0,-4.0
4385,2014,8,DL,758.0,-2.0
4499,2014,8,DL,901.0,1.0
4525,2014,8,DL,1628.0,-7.0
4531,2014,8,DL,814.0,-1.0
4557,2014,8,DL,1859.0,10.0
4585,2014,8,DL,1651.0,10.0
4607,2014,8,DL,2104.0,-4.0
