"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-01","10.07",,"0.65","0.0","0.0","72","77","68","  170","  160","21.0","23.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-02","10.29",,"0.00","0.0","0.0","75","85","68","  190",,"17.0",,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-03","11.18",,"0.00","0.0","0.0","75","78","70","  240",,"17.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-04","10.96",,"0.00","0.0","0.0","75","83","67","  300","  300","23.0","36.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-05","10.51",,"0.00","0.0","0.0","72","80","64","  350","  310","17.0","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-06","8.72",,"0.00","0.0","0.0","72","80","64","  180","   60","18.1","23.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-07","10.96",,"0.00","0.0","0.0","74","80","70","  160","  170","19.9","23.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-08","13.65",,"0.72","0.0","0.0","74","81","70","  180","  170","23.9","25.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-09","13.42",,"0.01","0.0","0.0","76","82","74","  180","  180","23.9","29.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-10","10.29",,"0.00","0.0","0.0","78","85","71","  330","  320","23.0","32.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-11","8.28",,"0.00","0.0","0.0","74","81","66","  190","  190","16.1","18.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-12","5.14",,"0.48","0.0","0.0","74","80","69","  340","  350","13.0","14.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-13","6.49",,"0.74","0.0","0.0","72","76","69","   90","  260","14.1","16.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-14","16.55",,"0.00","0.0","0.0","70","77","61","  310","  300","25.9","32.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-15","10.07",,"0.00","0.0","0.0","69","77","60","  190",,"19.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-16","6.49",,"0.00","0.0","0.0","71","79","63","  170","  100","14.1","21.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-17","5.59",,"0.00","0.0","0.0","72","81","62","  180","  210","13.0","16.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-18","4.47",,"0.00","0.0","0.0","71","78","66","  100","  150","12.1","19.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-19","11.18",,"0.00","0.0","0.0","71","78","65","  190","  180","21.9","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-20","8.05",,"0.00","0.0","0.0","75","85","68","  210","  200","18.1","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-21","8.72",,"0.00","0.0","0.0","77","88","69","  190","  200","17.0","21.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-22","7.61",,"0.08","0.0","0.0","74","80","72","  250","  240","16.1","21.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-23","11.86",,"0.00","0.0","0.0","76","84","69","  360","  360","21.9","25.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-24","9.17",,"0.00","0.0","0.0","72","79","64","   40","   30","17.0","21.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-25","11.18",,"0.00","0.0","0.0","72","81","63","  200","  210","19.9","23.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-26","13.20",,"0.02","0.0","0.0","74","84","68","  230","  300","21.0","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-27","11.41",,"0.03","0.0","0.0","78","88","72","  360","  350","23.0","28.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-28","4.70",,"0.00","0.0","0.0","77","85","69","  150","  150","13.0","16.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-29","8.95",,"0.00","0.0","0.0","75","82","70","   40","   30","17.0","21.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-30","10.74",,"0.00","0.0","0.0","74","83","69","  230","  230","17.0","21.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-08-31","11.18",,"0.00","0.0","0.0","76","83","72","  190","  180","18.1","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-01","8.72",,"0.02","0.0","0.0","76","84","73","  150","  170","16.1","19.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-02","6.04",,"0.00","0.0","0.0","76","82","72","  200","  210","14.1","17.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-03","9.17",,"0.01","0.0","0.0","77","85","69","  340","  260","17.0","23.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-04","13.20",,"0.00","0.0","0.0","74","82","66","  220","  230","21.9","25.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-05","12.30",,"0.00","0.0","0.0","74","82","64","  330","  310","21.0","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-06","7.61",,"0.00","0.0","0.0","65","72","56","  350","  360","16.1","19.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-07","11.63",,"0.00","0.0","0.0","67","78","58","  200","  190","19.9","23.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-08","12.97",,"0.00","0.0","0.0","74","87","62","  330","  350","23.0","30.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-09","9.17",,"0.00","0.0","0.0","65","72","54","  190","  190","17.0","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-10","12.30",,"0.00","0.0","0.0","73","81","70","  190","  180","21.9","25.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-11","10.74",,"0.00","0.0","0.0","78","88","72","  180","  180","23.9","31.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-12","10.07",,"0.29","0.0","0.0","75","82","70","  270","  260","25.9","36.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-13","12.30",,"0.09","0.0","0.0","73","80","59","  330","  320","23.9","31.1","    1",,,,,,
