"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-01","8.95",,"0.00","0.0","0.0","74","78","70","  130","  110","17.0","19.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-02","8.50",,"0.00","0.0","0.0","74","79","67","   30","   20","17.0","19.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-03","7.83",,"0.00","0.0","0.0","72","79","64","  110","  110","16.1","19.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-04","6.71",,"0.00","0.0","0.0","72","80","64","  180","  190","13.0","16.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-05","11.41",,"0.00","0.0","0.0","74","81","68","  180","  190","19.9","31.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-06","10.51",,"0.18","0.0","0.0","77","84","74","  180","  200","14.1","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-07","10.29",,"0.00","0.0","0.0","80","89","68","  320","  320","15.0","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-08","6.93",,"0.00","0.0","0.0","80","84","73","   10","   10","12.1","12.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-09","8.50",,"0.00","0.0","0.0","78","86","71","  170","  170","15.0","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-10","13.42",,"0.05","0.0","0.0","79","84","74","  190","  190","23.0","33.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-11","8.95",,"0.06","0.0","0.0","82","92","78","  300","  300","17.0","23.0",,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-12","12.08",,"0.01","0.0","0.0","83","90","77","  240","  300","21.9","30.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-13","10.74",,"0.00","0.0","0.0","85","91","80","  180","  180","19.9","30.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-14","10.07",,"0.01","0.0","0.0","87","95","82","  300","  300","23.0","29.1",,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-15","8.50",,"0.00","0.0","0.0","84","88","78","  170","  170","13.0","13.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-16","13.42",,"0.00","0.0","0.0","82","87","77","  170","  170","23.9","36.9",,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-17","14.54",,"0.01","0.0","0.0","82","87","77","  250","  250","28.0","36.0",,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-18","4.92",,"0.01","0.0","0.0","79","85","74","  180",,"10.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-19","7.61",,"0.00","0.0","0.0","80","87","76","  360","  360","15.0","21.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-20","6.71",,"0.03","0.0","0.0","79","87","74","  150",,"16.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-21","12.53",,"0.26","0.0","0.0","80","84","76","  200","  200","19.9","25.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-22","16.11",,"0.00","0.0","0.0","76","81","68","  330","  340","23.0","33.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-23","8.05",,"0.00","0.0","0.0","71","79","64","  200","  180","15.0","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-24","11.18",,"0.00","0.0","0.0","75","85","67","  190","  230","19.9","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-08-25","14.32",,"0.00","0.0","0.0","76","81","70","  180","  180","21.9","32.0",,,,,,,
