,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
31921,201601020043,2016,1,2,,1,,217,United States,1,North America,Oregon,Princeton,43.265841,-118.844083,1,0,,"01/02/2016: At least 12 armed assailants seized the Malheur National Wildlife Refuge headquarters in Princeton, Oregon, United States. On January 26, 2016, a leader of the group was killed, Ryan Bundy was wounded, and seven leaders, including Ammon and Ryan Bundy, were arrested in a confrontation with authorities approximately 45 miles away from the refuge. The last four assailants at the refuge were arrested on February 11, 2016. Citizens for Constitutional Freedom claimed responsibility for the incident and demanded that federal grounds be returned to the ranchers of Harney County. The group also stated that the occupation was carried out in protest to the five year sentence of Dwight and Steven Hammond, two ranchers convicted of arson of federal land.",1,1,1,0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),21.0,Government Building/Facility/Office,United States Fish and Wildlife Service,Malheur National Wildlife Refuge,217.0,United States,,,,,,,,,,,,,,,,,Citizens for Constitutional Freedom,,,,,,"Citizens for Constitutional Freedom claimed responsibility for the incident and demanded that federal grounds be returned to the ranchers of Harney County. The group also stated that the occupation was carried out in protest to the five year sentence of Dwight and Steven Hammond, two ranchers convicted of arson of federal land.",0,,,0,12,11,1,8.0,Personal claim,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,5.0,Firearms,3.0,Handgun,5.0,Firearms,4.0,Rifle/Shotgun (non-automatic),,,,,"AR-15 automatic rifles and other assault weapons, pistols, rifles, and shotguns were used in the attack.",0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,,"""Protesters occupy Oregon wildlife refuge as dispute over Western range flares,"" Reuters, January 3, 2016.","""Oregon standoff: 4 holdouts all in FBI custody as occupation ends (live updates),"" The Oregonian, February 11, 2016.","""Federal indictment says protesters in Oregon occupation 'threatened violence',"" Los Angeles Times, February 4, 2016.",START Primary Collection,0,0,0,0,
32089,201601070024,2016,1,7,,0,,217,United States,1,North America,Pennsylvania,Philadelphia,40.008171,-75.13549,1,0,The incident occurred at the intersection of 60th and Spruce streets.,"01/07/2016: An assailant shot and injured police officer Jesse Hartnett in Philadelphia, Pennsylvania, United States. Hartnett returned fire and injured the assailant as he attempted to flee. The assailant, identified as Edward Archer, stated that he carried out the attack ""in the name of Islam."" Archer also pledged allegiance to the Islamic State of Iraq and the Levant (ISIL).",1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,3,Police,25.0,Police Security Forces/Officers,Philadelphia City Police,Officer: Jesse Hartnet,217.0,United States,,,,,,,,,,,,,,,,,Jihadi-inspired extremists,,,,,,"An unaffiliated individual, identified as Edward Archer, claimed responsibility for the incident and stated that he carried out the attack ""in the name of Islam."" Archer also pledged allegiance to the Islamic State of Iraq and the Levant (ISIL).",0,,,1,1,1,1,8.0,Personal claim,,,,,,,,5,Firearms,3.0,Handgun,,,,,,,,,,,,,A semiautomatic pistol was used in the attack.,0.0,0.0,0.0,2.0,2.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,A police vehicle was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Philly Officer Heads Home 2 Weeks After Ambush,"" NBC Philadelphia, January 22, 2016.","""Islamic State sympathiser shoots Philadelphia police officer,"" Telegraph, January 11, 2016.","""Philly cop wounded in street ambush,"" USA Today, January 8, 2016.",START Primary Collection,-9,-9,0,-9,
32394,201601150040,2016,1,15,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1,0,The incident occurred at the intersection of Watson and Pugsley avenues in the Bronx.,"01/15/2016: Assailants attacked a Muslim civilian from Bangladesh in Bronx, New York City, United States. The civilian was injured in the assault. No group claimed responsibility; however, sources noted that the two assailants shouted ""ISIS, ISIS"" at the victim during the attack.",1,1,1,0,,,0.0,1,0,8,Unarmed Assault,,,,,14,Private Citizens & Property,69.0,Religion Identified,Not Applicable,Muslim Civilian: Mujibur Rahman,19.0,Bangladesh,,,,,,,,,,,,,,,,,Anti-Muslim extremists,,,,,,"The specific motive is unknown; however, sources noted that the assailants yelled, ""ISIS, ISIS"" throughout the attack.",0,,,1,2,2,0,,,,,,,,,,9,Melee,22.0,"Hands, Feet, Fists",,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,0.0,0,,,,,0,,,,,,,,,,,,,,,,,"""Muslim Man Beaten in the Bronx by Ski-Masked Assailants Chanting 'ISIS',"" New York Magazine, January 18, 2016.","""Teens who assaulted Muslim man chanted 'ISIS, ISIS' during attack, police say,"" Washington Post, January 17, 2016.","""Two teens arrested for allegedly attacking Bronx Muslim man while shouting 'ISIS, ISIS',"" PIX 11, New York, January 22, 2016.",START Primary Collection,-9,-9,1,1,
33450,201602110023,2016,2,11,,0,,217,United States,1,North America,Ohio,Columbus,40.064024,-82.863818,1,0,,"02/11/2016: A machete-wielding assailant attacked and wounded four people in Nazareth Restaurant & Deli in Columbus, Ohio, United States. Police shot and killed the assailant after he fled the restaurant. No group claimed responsibility for the incident; however sources identified the assailant as Mohamed Barry, who shouted ""Allahu Akbar"" immediately before the attack.",1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,1,Business,2.0,Restaurant/Bar/Café,Nazareth Restaurant & Deli,Restaurant,217.0,United States,,,,,,,,,,,,,,,,,Muslim extremists,,,,,,,0,,,1,1,0,0,,,,,,,,,,9,Melee,23.0,Knife or Other Sharp Object,,,,,,,,,,,,,A machete was used in the attack.,1.0,1.0,1.0,4.0,4.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,"The victims included Neil McKeein, William Foley, Debbie Russell, and Gerald Russell.","""Columbus machete attack motive,"" CNN, February 12, 2016.","""Random act or Islamist terrorism? Questions linger as Ohio restaurant reopens after machete attack,"" Washington Post, February 16, 2016.","""Ohio Machete attacker Mohamed Barry was investigated by FBI for radical Islamist views,"" One News Page United Kingdom, February 15, 2016.",START Primary Collection,-9,-9,0,-9,
33764,201602180063,2016,2,18,,0,,217,United States,1,North America,Indiana,Nashville,39.207489,-86.246998,1,0,,"02/18/2016: An assailant armed with a hatchet attacked Zhang Yue, an 18-year-old Chinese exchange student, in Nashville, Indiana, United States. Yue was injured in the assault. Authorities arrested Dana Ericson, who confessed to the attack, self-identified as a white supremacist, and indicated that his goal was ethnic cleansing. In court Ericson stated that he was ""trying to start a revolution.""",1,1,1,1,4.0,Lack of Intentionality,0.0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,71.0,Race/Ethnicity Identified,Not Applicable,Chinese Civilian: Zhang Yue,44.0,China,,,,,,,,,,,,,,,,,White extremists,,,,,,"An unaffiliated individual, identified as Dana Ericson, claimed responsibility for the incident and stated that he targeted Zhang Yue because she was Asian and that he intended to carry out ""ethnic cleansing.""",0,,,1,1,1,1,8.0,Personal claim,,,,,,,,9,Melee,23.0,Knife or Other Sharp Object,,,,,,,,,,,,,A hatchet was used in the attack.,0.0,0.0,0.0,1.0,0.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,"There is doubt that this incident meets terrorism-related criteria. Sources stated that Ericson had a history of mental illness, and a judge ruled that Ericson was mentally incompetent to stand trial.","""Judge: Nashville man not competent to stand trial,"" Brown County Democrat, April 11, 2016.","""Brown County man not mentally competent to stand trial,"" Indiana Daily Student, April 11, 2016.",,START Primary Collection,-9,-9,1,1,
34133,201602280069,2016,2,28,,0,,217,United States,1,North America,California,Lake Los Angeles,34.605975,-117.829953,1,0,The incident occurred at Stephen Sorensen Park.,"02/28/2016: Three assailants armed with knives attacked a group of Hispanic teenagers playing soccer at Stephen Sorensen Park in Lake Los Angeles, California, United States. At least two people suffered minor injuries in the assault. The three assailants, identified as Ian Justine Plankey, Richard Lawrence Daulton, and Kevin Matthew Stewart, were arrested following the incident. During the attack, they shouted white supremacist statements and racial slurs, including ""Heil Hitler, AV Skins.""",1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,71.0,Race/Ethnicity Identified,Not Applicable,Hispanic Civilians,217.0,United States,,,,,,,,,,,,,,,,,White extremists,,,,,,"The specific motive is unknown; however, sources noted that the three assailants yelled ""Heil Hitler, AV skins,"" during the attack.",1,,,1,3,3,0,,,,,,,,,,9,Melee,23.0,Knife or Other Sharp Object,9.0,Melee,22.0,"Hands, Feet, Fists",,,,,,,,,Knives were used in the attack.,0.0,0.0,0.0,3.0,3.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,,"""3 men are charged with hate crimes in an attack on Latinos at an L.A. County park,"" Los Angeles Times, March 3, 2016.","""3 Charged With Hate Crimes After Racially Motivated Attack in Lake Los Angeles Park: DA,"" KTLA 5 News, March 2, 2016.","""3 arrested after racially-motivated attack,"" The Antelope Valley Times, February 29, 2016.",START Primary Collection,-9,-9,0,-9,
35287,201603300069,2016,3,30,,0,,217,United States,1,North America,Massachusetts,Tyngsborough,42.691279,-71.438679,1,0,The incident occurred around 60 Locust Avenue area of the city,"03/30/2016: An assailant attempted to cut and set fire to power lines in Tyngsborough, Massachusetts, United States. The power lines were not damaged but the device started a fire in the nearby bushes. Danny M. Kelly claimed responsibility for the incident and demanded change within the court system.",1,1,1,0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,21,Utilities,107.0,Electricity,Unknown,Power Lines,217.0,United States,,,,,,,,,,,,,,,,,Court Reform extremists,,,,,,"An unaffiliated individual, identified as Danny M. Kelly, claimed responsibility for the incident and demanded change within the court system.",0,,,1,1,1,1,5.0,Note left at scene,,,,,,,,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,Homemade incendiary devices containing thermite were used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Approximately four acres of land were damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Man vowed 'war' in letter left with incendiary devices in Tyngsborough,"" The Boston Globe, April 4, 2016.","""Incendiary Devices Found On Power Lines In Tyngsboro,"" WBZ-TV CBS Boston, March 31, 2016.","""Chelmsford Man Charged with Attempting to Destroy Power Lines in Tyngsborough with Incendiary Device,"" Department of Justice Press Releases, April 4, 2016.",START Primary Collection,-9,-9,0,-9,
36122,201604210055,2016,4,21,,0,,217,United States,1,North America,Idaho,Bonners Ferry,48.684131,-116.316826,1,0,,"04/21/2016: Assailants set fire to St. Ann's Catholic Church in Bonners Ferry, Idaho, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.",1,1,1,0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,15,Religious Figures/Institutions,86.0,Place of Worship,St. Ann's Curch,Catholic Church,217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,Major (likely >= $1 million but < $1 billion),1000000.0,"Sources estimated that the fire caused $1,000,000 in damages to the church.",0,,,,,,,,,,,,,,,,,"""Catholic church leveled by arson Destruction follows vandalism spree in Bonners Ferry,"" The Spokesman-Review, April 22, 2016.",,,START Primary Collection,-9,-9,0,-9,
36302,201604260043,2016,4,26,,0,,217,United States,1,North America,Massachusetts,Haverhill,42.7678,-71.04865,1,0,,"04/26/2016: Assailants set fire to Riverside Church in Haverhill, Massachusetts, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.",1,1,1,0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,15,Religious Figures/Institutions,86.0,Place of Worship,Riverside Church,Church,217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),70000.0,"Two exterior doors, several window frames, sections of vinyl sided walls, the rear entrance, and one side of the exterior of the church were damaged in this attack.",0,,,,,,,,,,,,,,,,,"""Arsonist on the run after Haverhill church set on fire,"" My Fox Boston, April 27, 2016.","""Mass. Pastor: 'They were trying to burn the place down',"" Firehouse.com, April 27, 2016.",,START Primary Collection,-9,-9,0,-9,
37517,201605250055,2016,5,25,,0,,217,United States,1,North America,Washington,Vancouver,45.672237,-122.658793,1,0,,"05/25/2016: Assailants set fire to the First Congregational Church in Vancouver, Washington, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.",1,1,1,0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,15,Religious Figures/Institutions,86.0,Place of Worship,First Congregational Church,Church,217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,Major (likely >= $1 million but < $1 billion),1830000.0,A church was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Clark Co. churches on alert after second suspected church arson in two days,"" KPTV.com, May 27, 2016.","""Arson suspected after 2 Vancouver church fires in 24 hours, $10,000 reward offered,"" Oregonian, May 26, 2016.",,START Primary Collection,-9,-9,0,-9,
